date,store_id,product_category,region,units_sold,revenue,discount,marketing_spend,holiday
2024-01-01,S001,Electronics,North,66,11728.2,20.0,511.99,1
2024-01-01,S001,Home,North,50,5464.7,0.0,271.59,1
2024-01-01,S001,Fashion,North,56,2120.39,15.0,761.23,1
2024-01-01,S002,Electronics,South,54,16502.4,5.0,301.74,1
2024-01-01,S002,Home,South,41,2468.32,5.0,575.14,1
2024-01-01,S002,Fashion,South,55,4594.3,10.0,503.0,1
2024-01-02,S001,Electronics,North,41,12694.97,10.0,319.64,0
2024-01-02,S001,Home,North,32,3709.15,0.0,287.58,0
2024-01-02,S001,Fashion,North,49,3529.36,15.0,1162.2,0
2024-01-02,S002,Electronics,South,39,12234.21,0.0,584.17,0
2024-01-02,S002,Home,South,46,2389.68,20.0,137.83,0
2024-01-02,S002,Fashion,South,37,1491.45,10.0,672.07,0
2024-01-03,S001,Electronics,North,60,10398.54,15.0,1166.54,0
2024-01-03,S001,Home,North,32,2112.85,0.0,315.58,0
2024-01-03,S001,Fashion,North,38,1894.34,5.0,527.55,0
2024-01-03,S002,Electronics,South,48,19036.47,0.0,696.97,0
2024-01-03,S002,Home,South,38,1229.43,20.0,182.01,0
2024-01-03,S002,Fashion,South,55,4128.99,15.0,997.01,0
2024-01-04,S001,Electronics,North,39,16108.48,0.0,948.4,0
2024-01-04,S001,Home,North,37,1584.73,5.0,785.63,0
2024-01-04,S001,Fashion,North,44,4220.84,5.0,442.08,0
2024-01-04,S002,Electronics,South,49,18256.23,0.0,619.44,0
2024-01-04,S002,Home,South,43,3166.38,10.0,936.86,0
2024-01-04,S002,Fashion,South,47,1815.67,0.0,570.3,0
2024-01-05,S001,Electronics,North,43,16449.16,10.0,134.57,0
2024-01-05,S001,Home,North,23,2194.7,5.0,374.22,0
2024-01-05,S001,Fashion,North,31,3235.65,0.0,351.68,0
2024-01-05,S002,Electronics,South,48,17940.72,10.0,988.93,0
2024-01-05,S002,Home,South,38,3974.62,0.0,984.04,0
2024-01-05,S002,Fashion,South,52,1916.93,5.0,1085.7,0
2024-01-06,S001,Electronics,North,43,7429.68,5.0,350.73,0
2024-01-06,S001,Home,North,45,2469.61,5.0,661.82,0
2024-01-06,S001,Fashion,North,42,2852.98,5.0,231.85,0
2024-01-06,S002,Electronics,South,49,20592.84,5.0,873.32,0
2024-01-06,S002,Home,South,37,2206.97,5.0,1158.69,0
2024-01-06,S002,Fashion,South,45,2843.68,10.0,140.58,0
2024-01-07,S001,Electronics,North,38,7910.29,5.0,156.63,0
2024-01-07,S001,Home,North,54,2564.54,20.0,638.4,0
2024-01-07,S001,Fashion,North,60,3030.56,15.0,839.35,0
2024-01-07,S002,Electronics,South,43,12564.31,10.0,795.54,0
2024-01-07,S002,Home,South,39,1434.14,15.0,199.32,0
2024-01-07,S002,Fashion,South,48,1353.33,10.0,749.98,0
2024-01-08,S001,Electronics,North,35,12829.36,0.0,663.3,0
2024-01-08,S001,Home,North,48,1958.46,20.0,525.41,0
2024-01-08,S001,Fashion,North,42,4005.87,0.0,475.17,0
2024-01-08,S002,Electronics,South,41,9051.57,10.0,710.72,0
2024-01-08,S002,Home,South,41,2339.22,15.0,202.41,0
2024-01-08,S002,Fashion,South,51,4411.68,15.0,484.13,0
2024-01-09,S001,Electronics,North,51,9694.78,15.0,1075.8,0
2024-01-09,S001,Home,North,46,1686.46,10.0,1088.41,0
2024-01-09,S001,Fashion,North,51,3771.0,10.0,211.62,0
2024-01-09,S002,Electronics,South,50,10372.43,15.0,346.7,0
2024-01-09,S002,Home,South,47,3699.73,15.0,457.94,0
2024-01-09,S002,Fashion,South,42,2495.53,0.0,725.14,0
2024-01-10,S001,Electronics,North,38,15992.4,0.0,391.72,0
2024-01-10,S001,Home,North,47,3204.43,15.0,794.25,0
2024-01-10,S001,Fashion,North,49,2313.56,10.0,,0
2024-01-10,S002,Electronics,South,37,7586.4,10.0,126.75,0
2024-01-10,S002,Home,South,50,1649.46,20.0,1134.5,0
2024-01-10,S002,Fashion,South,50,5098.29,5.0,1121.15,0
2024-01-11,S001,Electronics,North,51,17765.13,15.0,1159.98,0
2024-01-11,S001,Home,North,23,1944.51,0.0,448.61,0
2024-01-11,S001,Fashion,North,44,3136.34,10.0,1129.77,0
2024-01-11,S002,Electronics,South,48,15357.55,0.0,1189.06,0
2024-01-11,S002,Home,South,54,3156.05,15.0,1065.11,0
2024-01-11,S002,Fashion,South,52,4190.56,15.0,422.95,0
2024-01-12,S001,Electronics,North,61,19302.34,20.0,1053.78,0
2024-01-12,S001,Home,North,68,5991.75,15.0,814.96,0
2024-01-12,S001,Fashion,North,41,2970.42,5.0,1079.01,0
2024-01-12,S002,Electronics,South,41,12048.37,10.0,139.54,0
2024-01-12,S002,Home,South,35,1580.19,10.0,415.2,0
2024-01-12,S002,Fashion,South,54,2169.49,15.0,674.47,0
2024-01-13,S001,Electronics,North,43,14016.77,0.0,785.18,0
2024-01-13,S001,Home,North,47,4716.82,15.0,801.17,0
2024-01-13,S001,Fashion,North,44,2721.92,5.0,667.93,0
2024-01-13,S002,Electronics,South,42,18476.43,0.0,186.3,0
2024-01-13,S002,Home,South,43,2032.33,10.0,1019.58,0
2024-01-13,S002,Fashion,South,46,3608.74,10.0,375.27,0
2024-01-14,S001,Electronics,North,59,16439.02,5.0,826.22,0
2024-01-14,S001,Home,North,47,4493.03,5.0,372.5,0
2024-01-14,S001,Fashion,North,42,2853.22,0.0,115.83,0
2024-01-14,S002,Electronics,South,48,13298.57,10.0,207.62,0
2024-01-14,S002,Home,South,50,4313.36,5.0,290.52,0
2024-01-14,S002,Fashion,South,34,2586.22,5.0,149.83,0
2024-01-15,S001,Electronics,North,45,7613.8,15.0,653.45,0
2024-01-15,S001,Home,North,39,3387.62,0.0,806.66,0
2024-01-15,S001,Fashion,North,59,3539.66,10.0,1134.25,0
2024-01-15,S002,Electronics,South,47,-50.0,20.0,700.18,0
2024-01-15,S002,Home,South,53,1937.47,20.0,1157.31,0
2024-01-15,S002,Fashion,South,42,1137.46,15.0,450.87,0
2024-01-16,S001,Electronics,North,50,16616.19,5.0,995.92,0
2024-01-16,S001,Home,North,43,3811.38,15.0,1065.22,0
2024-01-16,S001,Fashion,North,41,4478.86,0.0,410.24,0
2024-01-16,S002,Electronics,South,47,17397.05,5.0,553.88,0
2024-01-16,S002,Home,South,43,3442.4,20.0,474.88,0
2024-01-16,S002,Fashion,South,48,4905.8,0.0,930.0,0
2024-01-17,S001,Electronics,North,55,13327.7,15.0,655.78,0
2024-01-17,S001,Home,North,39,1475.85,20.0,111.92,0
2024-01-17,S001,Fashion,North,49,3157.44,20.0,451.25,0
2024-01-17,S002,Electronics,South,48,12254.52,5.0,593.29,0
2024-01-17,S002,Home,South,49,1969.9,15.0,839.77,0
2024-01-17,S002,Fashion,South,42,3106.42,0.0,643.86,0
2024-01-18,S001,Electronics,North,45,8361.75,15.0,585.68,0
2024-01-18,S001,Home,North,41,1774.51,10.0,937.66,0
2024-01-18,S001,Fashion,North,40,1250.76,15.0,192.52,0
2024-01-18,S002,Electronics,South,51,13569.56,5.0,1185.3,0
2024-01-18,S002,Home,South,46,3759.92,20.0,994.08,0
2024-01-18,S002,Fashion,South,41,3992.7,5.0,714.24,0
2024-01-19,S001,Electronics,North,43,7554.31,10.0,222.32,0
2024-01-19,S001,Home,North,29,2666.17,0.0,230.7,0
2024-01-19,S001,Fashion,North,47,2235.85,10.0,920.65,0
2024-01-19,S002,Electronics,South,48,21123.36,0.0,1055.46,0
2024-01-19,S002,Home,South,42,1542.37,20.0,113.37,0
2024-01-19,S002,Fashion,South,51,2931.39,20.0,709.24,0
2024-01-20,S001,Electronics,North,62,18847.28,10.0,792.34,0
2024-01-20,S001,Home,North,40,2499.08,0.0,1091.27,0
2024-01-20,S001,Fashion,North,72,3194.06,15.0,1145.45,0
2024-01-20,S002,Electronics,South,39,9666.72,10.0,306.93,0
2024-01-20,S002,Home,South,43,2784.78,0.0,742.02,0
2024-01-20,S002,Fashion,South,65,2516.05,10.0,995.17,0
2024-01-21,S001,Electronics,North,47,17251.88,15.0,1102.02,0
2024-01-21,S001,Home,North,56,2358.12,0.0,1052.67,0
2024-01-21,S001,Fashion,North,42,3841.08,15.0,514.11,0
2024-01-21,S002,Electronics,South,62,16155.03,15.0,1026.33,0
2024-01-21,S002,Home,South,43,4147.05,5.0,556.3,0
2024-01-21,S002,Fashion,South,59,2496.86,15.0,1139.24,0
2024-01-22,S001,Electronics,North,42,10152.81,0.0,595.6,0
2024-01-22,S001,Home,North,45,2780.45,10.0,838.87,0
2024-01-22,S001,Fashion,North,50,3222.59,10.0,224.91,0
2024-01-22,S002,Electronics,South,52,15512.01,10.0,1037.4,0
2024-01-22,S002,Home,South,46,4209.46,5.0,1064.32,0
2024-01-22,S002,Fashion,South,44,1371.2,0.0,334.26,0
2024-01-23,S001,Electronics,North,39,14886.71,10.0,485.65,0
2024-01-23,S001,Home,North,27,2495.42,10.0,483.08,0
